category,badge_name,age_group,badge_tier,metric_code,threshold,threshold type,file_name,file_type
mechanics,gf_2_20,softball,gold,mechanics_gf_2_20_softball_gold,20,ground_force_2_session_count,mechanics_gf_2_20_softball_gold.png,png
mechanics,gf_3_20,softball,gold,mechanics_gf_3_20_softball_gold,20,ground_force_3_session_count,mechanics_gf_3_20_softball_gold.png,png
,,,,,,,,
mechanics,s_1_5,youth,bronze,mechanics_s_1_5_youth_bronze,5,sequencing_1_session_count,mechanics_s_1_5_youth_bronze.png,png
mechanics,s_2_5,youth,bronze,mechanics_s_2_5_youth_bronze,5,sequencing_2_session_count,mechanics_s_2_5_youth_bronze.png,png
mechanics,s_1_10,youth,silver,mechanics_s_1_10_youth_silver,10,sequencing_1_session_count,mechanics_s_1_10_youth_silver.png,png
mechanics,s_2_10,youth,silver,mechanics_s_2_10_youth_silver,10,sequencing_2_session_count,mechanics_s_2_10_youth_silver.png,png
mechanics,s_1_20,youth,gold,mechanics_s_1_20_youth_gold,20,sequencing_1_session_count,mechanics_s_1_20_youth_gold.png,png
mechanics,s_2_20,youth,gold,mechanics_s_2_20_youth_gold,20,sequencing_2_session_count,mechanics_s_2_20_youth_gold.png,png
,,,,,,,,
mechanics,s_1_5,all_star,bronze,mechanics_s_1_5_all_star_bronze,5,sequencing_1_session_count,mechanics_s_1_5_all_star_bronze.png,png
mechanics,s_2_5,all_star,bronze,mechanics_s_2_5_all_star_bronze,5,sequencing_2_session_count,mechanics_s_2_5_all_star_bronze.png,png
mechanics,s_1_10,all_star,silver,mechanics_s_1_10_all_star_silver,10,sequencing_1_session_count,mechanics_s_1_10_all_star_silver.png,png
mechanics,s_2_10,all_star,silver,mechanics_s_2_10_all_star_silver,10,sequencing_2_session_count,mechanics_s_2_10_all_star_silver.png,png
mechanics,s_1_20,all_star,gold,mechanics_s_1_20_all_star_gold,20,sequencing_1_session_count,mechanics_s_1_20_all_star_gold.png,png
mechanics,s_2_20,all_star,gold,mechanics_s_2_20_all_star_gold,20,sequencing_2_session_count,mechanics_s_2_20_all_star_gold.png,png
,,,,,,,,
mechanics,s_1_5,pro,bronze,mechanics_s_1_5_pro_bronze,5,sequencing_1_session_count,mechanics_s_1_5_pro_bronze.png,png
mechanics,s_2_5,pro,bronze,mechanics_s_2_5_pro_bronze,5,sequencing_2_session_count,mechanics_s_2_5_pro_bronze.png,png
mechanics,s_1_10,pro,silver,mechanics_s_1_10_pro_silver,10,sequencing_1_session_count,mechanics_s_1_10_pro_silver.png,png
